stage,digit,trials,monitor_a,monitor_b,monitor_c,quantity,temp_c,vref_v
49,6,1,6.2723,6.2733,6.2742,residuo reescalado (V),22.68,2.5
50,9,1,4.3707,4.3715,4.3725,residuo reescalado (V),23.33,2.5
51,4,1,1.3267,1.3271,1.3265,residuo reescalado (V),22.66,2.50002
52,8,1,2.5175,2.5187,2.5189,residuo reescalado (V),23.24,2.50006
53,0,1,8.1487,8.1495,8.1492,residuo reescalado (V),22.27,2.50003
54,7,1,5.0891,5.0869,5.0877,residuo reescalado (V),22.95,2.49999
55,3,1,5.9172,5.9171,5.9159,residuo reescalado (V),22.71,2.49996
56,1,1,4.689,4.687,4.6887,residuo reescalado (V),23.37,2.5
57,7,1,6.5877,6.5877,6.5891,residuo reescalado (V),22.95,2.50013
58,6,1,4.7664,4.7659,4.7674,residuo reescalado (V),22.49,2.50013
59,6,1,4.6934,4.695,4.694,residuo reescalado (V),23.04,2.5002
60,7,1,7.6283,7.6294,7.6297,residuo reescalado (V),22.58,2.50008
61,9,1,3.5099,3.5084,3.5101,residuo reescalado (V),22.58,2.49993
62,7,1,3.0215,3.0202,3.021,residuo reescalado (V),23.12,2.50003
63,3,1,4.2009,4.2038,4.2017,residuo reescalado (V),23.21,2.49999
64,7,1,5.4327,5.4333,5.4311,residuo reescalado (V),23.85,2.5
65,9,1,4.3274,4.3288,4.3281,residuo reescalado (V),23.09,2.50014
66,9,1,3.0573,3.0597,3.0569,residuo reescalado (V),22.56,2.50004
67,0,1,6.1116,6.1109,6.1099,residuo reescalado (V),22.87,2.50005
68,7,1,1.0911,1.0938,1.0953,residuo reescalado (V),22.94,2.5001
69,3,1,6.6782,6.677,6.6775,residuo reescalado (V),23.19,2.50009
70,2,1,7.7965,7.7971,7.7962,residuo reescalado (V),23.08,2.50023
71,4,1,7.6612,7.6627,7.6651,residuo reescalado (V),22.96,2.50002
72,7,1,3.5702,3.5697,3.5718,residuo reescalado (V),23.27,2.49985
73,8,1,1.5851,1.587,1.583,residuo reescalado (V),22.07,2.5001
74,4,1,5.3932,5.3934,5.3944,residuo reescalado (V),22.74,2.49986
75,6,1,6.7445,6.7436,6.7441,residuo reescalado (V),22.86,2.49991
76,2,1,2.79,2.7895,2.7868,residuo reescalado (V),23.24,2.50017
77,1,1,5.1431,5.1401,5.1416,residuo reescalado (V),22.54,2.50001
78,0,1,1.9402,1.9392,1.9398,residuo reescalado (V),22.58,2.49973
79,7,1,8.4359,8.4363,8.4365,residuo reescalado (V),22.89,2.50001
80,0,1,1.4779,1.4777,1.4797,residuo reescalado (V),23.58,2.50008
81,3,1,6.545,6.5444,6.543,residuo reescalado (V),22.32,2.50009
82,8,1,2.908,2.9075,2.9055,residuo reescalado (V),22.88,2.49993
83,8,1,6.4791,6.4785,6.4768,residuo reescalado (V),23.42,2.5
84,5,1,3.8808,3.883,3.882,residuo reescalado (V),23.4,2.49968
85,0,1,6.8556,6.8525,6.8534,residuo reescalado (V),23.08,2.5
86,3,1,6.9921,6.9941,6.9928,residuo reescalado (V),22.97,2.49995
87,8,1,5.959,5.9623,5.9627,residuo reescalado (V),23.3,2.50015
88,7,1,2.4672,2.4677,2.467,residuo reescalado (V),22.83,2.50003
89,5,1,4.1606,4.1604,4.1598,residuo reescalado (V),23.14,2.50007
90,3,1,1.7786,1.7785,1.7791,residuo reescalado (V),22.94,2.50012
91,4,1,8.3368,8.3367,8.3361,residuo reescalado (V),22.63,2.50011
92,3,1,2.3269,2.3277,2.3282,residuo reescalado (V),23.21,2.50016
93,2,1,1.6161,1.6172,1.6162,residuo reescalado (V),23.48,2.50017
94,7,1,6.2951,6.2956,6.2966,residuo reescalado (V),23.01,2.50026
95,6,1,8.7538,8.7541,8.7534,residuo reescalado (V),23.56,2.50016
96,4,1,6.785,6.7856,6.7843,residuo reescalado (V),23.4,2.49996
97,1,1,4.2722,4.2701,4.2712,residuo reescalado (V),23.74,2.50004
98,5,1,8.4389,8.4376,8.4374,residuo reescalado (V),23.36,2.49981
99,7,1,1.7702,1.7693,1.7703,residuo reescalado (V),22.26,2.49998
100,2,1,1.0496,1.0505,1.0482,residuo reescalado (V),23.25,2.49977
101,7,1,4.4933,4.4925,4.4932,residuo reescalado (V),23.43,2.50003
102,3,1,8.2622,8.262,8.2632,residuo reescalado (V),23.19,2.50011
103,5,1,6.4068,6.4084,6.4075,residuo reescalado (V),22.89,2.50019
104,0,1,7.5699,7.5693,7.5713,residuo reescalado (V),22.89,2.50004
105,1,1,1.5894,1.5906,1.5901,residuo reescalado (V),23.28,2.50022
106,3,1,3.1847,3.1844,3.1841,residuo reescalado (V),22.96,2.49997
107,8,1,7.1505,7.151,7.1491,residuo reescalado (V),22.92,2.50001
108,4,1,1.0431,1.0435,1.0434,residuo reescalado (V),23.37,2.49997
109,6,1,5.706,5.7046,5.7069,residuo reescalado (V),22.99,2.49995
110,2,1,6.2064,6.2067,6.2063,residuo reescalado (V),23.06,2.49978
111,3,1,2.8911,2.8893,2.8907,residuo reescalado (V),22.84,2.50001
112,0,1,8.0997,8.0986,8.0993,residuo reescalado (V),23.14,2.49995
113,9,1,7.9998,7.9982,8.0007,residuo reescalado (V),22.6,2.49999
114,1,1,6.9921,6.9946,6.9922,residuo reescalado (V),23.21,2.49993
115,2,1,1.3863,1.3876,1.3894,residuo reescalado (V),23.21,2.49996
116,2,1,6.5208,6.5209,6.5214,residuo reescalado (V),22.86,2.50001
117,9,1,4.2328,4.2333,4.2336,residuo reescalado (V),23.33,2.50005
118,7,1,8.442,8.4419,8.442,residuo reescalado (V),22.89,2.49986
119,0,1,5.1241,5.1236,5.1238,residuo reescalado (V),22.16,2.49997
120,2,1,8.1752,8.1763,8.175,residuo reescalado (V),22.59,2.50002
121,4,1,5.2423,5.2432,5.2456,residuo reescalado (V),23.41,2.4999
122,9,1,4.0588,4.0578,4.06,residuo reescalado (V),23.33,2.50009
123,2,1,1.1715,1.1725,1.1707,residuo reescalado (V),23.53,2.49975
124,4,1,6.4814,6.4851,6.4825,residuo reescalado (V),21.85,2.50006
125,8,1,2.7585,2.758,2.7596,residuo reescalado (V),22.65,2.49994
126,3,1,6.647,6.6464,6.6459,residuo reescalado (V),22.67,2.50001
127,6,1,5.9867,5.9862,5.9859,residuo reescalado (V),22.61,2.49983
128,0,1,6.7564,6.757,6.7575,residuo reescalado (V),22.5,2.49992
